ovoNumber;(operationele einddatum ook invullen als) formele einddatum;Naam (algemeen);id;;;;;
OVO041674;31/10/2020;Electriciens;e3ceccf9-cfdb-57b0-fe35-d7d368a71428;;;;;
OVO041234;16/03/2021;Europese Projecten;d11337d7-327e-f13e-46da-a584351c76d5;;;;;
OVO037880;4/03/2021;Examencommissie;bd0ead37-6a7b-3af3-7847-0a8558ed3fc6;;;;;
OVO036545;31/07/2020;Exploitatie;d41b9666-c4af-3955-0447-487e1b768bcd;;;;;
OVO038041;31/07/2020;Exploitatie - Concessies;374bcbe1-6d17-c9c8-59d8-728eae77a3d8;;;;;
OVO038038;31/07/2020;Exploitatie - Districtswerking;9201d4cb-7739-6d94-0e41-670e2cb72b1a;;;;;
OVO038042;14/04/2014;Exploitatie - Districtswerking;e04f7668-abe4-1883-71b8-1c9dbce6fca3;;;;;
OVO038043;14/04/2014;Exploitatie - Milieu;ad1daceb-3c67-c3f7-1689-aa6ce88c0318;;;;;
OVO038040;31/07/2020;Exploitatie - Milieu;e78ea4d6-337f-b022-325b-6ca4ae6d1112;;;;;
OVO038037;31/07/2020;Exploitatie - Preventie en Veiligheid;7c9a09ed-2337-7177-1bef-d48fec25308c;;;;;
OVO040279;30/09/2018;Facilitair Management;07d0db56-55ad-d710-54cc-3e0b60abe229;;;;;
OVO040281;9/02/2020;Facility;f0e2212e-ad8b-dd0b-ac6a-68dff2a17148;;;;;
OVO038047;31/03/2020;Financieel;5d6b1cee-475a-8619-a662-5498757f1e77;;;;;
OVO040278;30/09/2018;Financieel Management;7f20dbe2-aefb-e17f-9cbe-451979e409d0;;;;;
OVO039732;31/03/2020;Financieel Management;d05007c5-fdd9-c377-9827-bbf26d4f1593;;;;;
OVO044537;31/05/2016;Gezonde Mobiliteit;550a95bc-37cc-4b22-a8e8-93a110b7be8c;;;;;
OVO041676;31/10/2020;Glazenier;2cf905c6-afbd-bef4-a4d6-b1c938a544a3;;;;;
OVO038272;24/02/2016;Grondbeleid;3af6ad95-ea1b-5cdf-d0a9-a9d1fbcf186b;;;;;
OVO040277;30/09/2018;HR;f66c5fae-4d87-f6f5-f0cf-3cb51a8348aa;;;;;
OVO038477;30/04/2018;Halle Beheer;c4e4511f-4044-8faf-972a-82deedc83796;;;;;
OVO038478;30/04/2018;Halle Uitvoering;94e5a599-4eb5-c57f-7303-fb24a31c625d;;;;;
OVO041381;13/10/2020;IROJ-team;db6d1f9c-1460-5c16-ff7f-a96a37b2f84e;;;;;
OVO039850;4/03/2021;Informatica;2a012657-4a67-43fd-abb0-32e88ce9fd02;;;;;
OVO038034;24/02/2016;Interne Communicatie;ed31468d-9aee-8201-d296-56a563db9f5a;;;;;
OVO035223;30/11/2019;Invoer- en scanteam;95e61cb0-85e0-dab1-8d64-c2cfdb7b70ac;;;;;
OVO036483;30/06/2019;Invordering 2;9b04e1cb-ecc8-3613-3d82-a3d682dd3bb1;;;;;
OVO036485;30/06/2019;Invordering 4;75bff372-b3b7-f16b-675d-33840c00fa43;;;;;
OVO036487;2/03/2021;Invordering 6;e6e87452-3c28-d33a-723f-def7e24e168d;;;;;
OVO041380;13/10/2020;JO Lijn;24e3bbd9-ecc3-50d8-4244-67dae9fb98cf;;;;;
OVO031082;30/04/2020;Juridisch Team;d795bbfc-542d-4148-1b1e-cb69e3567c78;;;;;
OVO039446;31/12/2017;Juridische cel;11b7a8d1-ad02-3628-3961-31630ef4c529;;;;;
OVO036902;31/03/2020;Kernproces STL;d1c4f406-1fad-0839-8c5b-a13ebb2370f8;;;;;
OVO041673;31/10/2020;Klusjesmannen;122c3ac4-78bf-6991-98aa-2fe26f6f7a73;;;;;
OVO038457;31/01/2015;Kunstwerken;61e965df-099d-fc6b-31ed-d748f7d31433;;;;;
OVO038320;30/04/2018;Leuven Beheer;6b95b610-4517-667a-82ca-5f5363b7015d;;;;;
OVO038321;30/04/2018;Leuven Uitvoering;9a09dc0c-7168-0c45-7b19-90ee9bc6b4a6;;;;;
OVO039583;17/01/2021;Logistiek;35b15fea-68ba-6051-40e1-7a985886dcc3;;;;;
OVO041675;31/10/2020;Loodgieters;94b6b7a1-09bf-ff47-79dc-b6cacca60501;;;;;
OVO036326;31/12/2019;Loods Retie Ploeg 1;99f7e98c-b78e-c394-95b9-1772b7d23ab1;;;;;
OVO036327;31/12/2019;Loods Teunenberg - Olen;a2a90003-ec76-dce9-4dc8-9aa54520b97a;;;;;
OVO040263;30/09/2020;Managementondersteuning;a03ed993-5780-5b59-2382-ba8f89ae1025;;;;;
OVO049267;31/03/2021;Meetnet Bacteriologie;248de39b-dd34-b736-f847-2e0d5f688418;;;;;
OVO049268;31/03/2021;Meetnet Diatomeeën;1ffb2a64-37b0-909c-70c8-23e33e791723;;;;;
OVO040015;30/11/2020;Mobiele ploeg Antwerpen, Limburg, Vl. Brabant;a0476930-1f93-cf00-8711-214aad77987c;;;;;
OVO040014;30/11/2020;Mobiele ploeg O & W Vlaanderen;b2d72fac-7b48-99f4-af7b-20053204df6e;;;;;
OVO044540;31/05/2016;Niet-thematische projecten;3005e837-96b8-7b35-9f4e-0463d2eca0a7;;;;;
OVO037285;31/03/2020;Nijverheidsbrug;88cf5e62-f44f-635a-578e-0bf43643c2da;;;;;
OVO031125;31/05/2019;OPS On site support;3af42f95-ead7-fbda-5a84-39e9f02f6bfe;;;;;
OVO038275;31/08/2019;Ontwerp;b2bce2ca-89bd-4514-8787-03cbedec43b2;;;;;
