VO_OVOCODE;VO_OP_BEGIN_DT nieuw (operationeel geldig vanaf)
OVO042884;1/04/2017
OVO042885;1/04/2017
OVO042892;1/04/2017
OVO042893;1/04/2017
OVO042894;1/04/2017
OVO042887;1/04/2017
OVO042888;1/04/2017
OVO042899;1/04/2017
OVO042900;1/04/2017
OVO042901;1/04/2017
OVO042902;1/04/2017
OVO042889;1/04/2017
OVO042890;1/04/2017
OVO042930;1/04/2017
OVO000681;1/04/2017
OVO048588;1/04/2017
OVO042955;1/04/2017
OVO042956;1/04/2017
OVO042957;1/04/2017
OVO042969;1/04/2017
OVO042973;1/04/2017
OVO042974;1/04/2017
OVO042975;1/04/2017
OVO042977;1/04/2017
OVO042978;1/04/2017
OVO042979;1/04/2017
OVO042971;1/04/2017
OVO042995;1/04/2017
OVO043005;1/04/2017
OVO048522;1/04/2017
OVO049231;1/04/2017
OVO049232;1/04/2017
OVO049233;1/04/2017
OVO049234;1/04/2017
OVO049235;1/04/2017
OVO049236;1/04/2017
OVO049237;1/04/2017
OVO049238;1/04/2017
OVO049239;1/04/2017
OVO049240;1/04/2017
OVO049241;1/04/2017
OVO049242;1/04/2017
OVO049243;1/04/2017
OVO049244;1/04/2017
OVO049245;1/04/2017
OVO049246;1/04/2017
OVO048523;1/04/2017
OVO043067;1/04/2017
OVO043073;1/04/2017
OVO043069;1/04/2017
OVO043074;1/04/2017
OVO043075;1/04/2017
OVO043076;1/04/2017
OVO043077;1/04/2017
OVO043078;1/04/2017
OVO043070;1/04/2017
OVO043072;1/04/2017
OVO038235;1/04/2017
OVO038242;1/04/2017
OVO038257;1/04/2017
OVO038259;1/04/2017
OVO048516;1/04/2017
OVO036811;1/04/2017
OVO036798;1/04/2017
OVO048524;1/04/2017
OVO049250;1/04/2017
OVO049251;1/04/2017
OVO049252;1/04/2017
OVO049253;1/04/2017
OVO049254;1/04/2017
OVO049255;1/04/2017
OVO049256;1/04/2017
OVO049257;1/04/2017
OVO049258;1/04/2017
OVO049260;1/04/2017
OVO049261;1/04/2017
OVO049262;1/04/2017
OVO049263;1/04/2017
OVO049264;1/04/2017
OVO049265;1/04/2017
OVO049266;1/04/2017
OVO049267;1/04/2017
OVO049268;1/04/2017
OVO037199;1/04/2017
OVO048616;1/04/2017
OVO048622;1/04/2017
OVO038375;1/07/2017
OVO038396;1/07/2017
OVO039874;1/09/2017
OVO038237;1/09/2017
OVO008424;1/01/2018
OVO038333;1/01/2018
OVO008219;1/05/2018
OVO040905;20/08/2018
OVO029064;20/08/2018
OVO038661;1/10/2018
OVO038549;1/12/2018
OVO038550;1/12/2018
OVO038551;1/12/2018
OVO038560;1/12/2018
OVO038563;1/12/2018
OVO038564;1/12/2018
OVO038568;1/12/2018
OVO038575;1/12/2018
OVO038576;1/12/2018
OVO037262;1/12/2018
OVO037263;1/12/2018
OVO038649;1/12/2018
OVO031211;1/12/2018
OVO044530;1/12/2018
OVO044530;1/12/2018
OVO037807;1/01/2019
OVO049308;1/01/2019
OVO039058;1/01/2019
OVO040911;15/02/2019
OVO040912;15/02/2019
OVO040914;15/02/2019
OVO038337;21/03/2019
OVO036470;1/07/2019
OVO036471;1/07/2019
OVO036472;1/07/2019
OVO036473;1/07/2019
OVO049269;1/07/2019
OVO037093;1/09/2019
OVO038574;1/09/2019
OVO037256;1/09/2019
OVO037257;1/09/2019
OVO038719;1/09/2019
OVO037336;1/09/2019
OVO037338;1/09/2019
OVO037339;1/09/2019
OVO037340;1/09/2019
OVO037341;1/09/2019
OVO037343;1/09/2019
OVO037345;1/09/2019
OVO036376;2/10/2019
OVO036375;2/10/2019
OVO036366;2/10/2019
OVO036368;2/10/2019
OVO036372;2/10/2019
OVO036370;2/10/2019
OVO001983;1/01/2020
OVO048123;1/01/2020
OVO048124;1/01/2020
OVO048125;1/01/2020
OVO036995;1/03/2020
OVO041709;1/03/2020
OVO041708;1/03/2020
OVO038340;1/03/2020
OVO039301;1/03/2020
OVO049282;26/03/2020
OVO049275;1/04/2020
OVO049276;1/04/2020
OVO049277;1/04/2020
OVO049278;1/04/2020
OVO049279;1/04/2020
OVO049280;1/04/2020
OVO049281;1/04/2020
OVO049283;1/04/2020
OVO049284;1/04/2020
OVO049285;1/04/2020
OVO049286;1/04/2020
OVO049287;1/04/2020
OVO049288;1/04/2020
OVO049289;1/04/2020
OVO049291;1/04/2020
OVO049292;1/04/2020
OVO049293;1/04/2020
