VO_OVOCODE;VO_PG_DEPTIDOVO;VO_PG_DEPTIDtotOVO nieuw (sleutel geldig tot)
OVO045341;1 B 3D EGA;31/03/2015
OVO045342;1 B 3D EGB;31/03/2015
OVO045343;1 B 3D EH;31/03/2015
OVO045344;1 B 3D EJ;31/03/2015
OVO045345;1 B 3D EJA;31/03/2015
OVO045346;1 B 3D EJB;31/03/2015
OVO045347;1 B 3D EJC;31/03/2015
OVO045348;1 B 3D EJD;31/03/2015
OVO045349;1 B 3D EJE;31/03/2015
OVO045350;1 B 3D F;31/03/2015
OVO045352;1 B 3D GA;31/03/2015
OVO045353;1 B 3D GB;31/03/2015
OVO045354;1 B 3D GC;30/04/2014
OVO045355;1 B 3D GCA;30/04/2014
OVO045356;1 B 3D GCB;30/04/2014
OVO045357;1 B 3D GD;31/03/2015
OVO045358;1 B 3D GDA;31/03/2015
OVO045359;1 B 3D GDB;31/03/2015
OVO045360;1 B 3D GDC;30/04/2014
OVO045361;1 B 3D GE;31/03/2015
OVO045362;1 B 3D GF;31/03/2015
OVO045363;1 B 3D GFA;31/03/2015
OVO045366;1 B 3D HA;31/03/2015
OVO045367;1 B 3D HAA;31/03/2015
OVO045368;1 B 3D HAB;31/03/2015
OVO045369;1 B 3D HB;31/03/2015
OVO045370;1 B 3D HBA;31/03/2015
OVO045371;1 B 3D HBB;31/03/2015
OVO045372;1 B 3D HC;31/03/2015
OVO045373;1 B 3D HCA;31/03/2015
OVO045374;1 B 3D HCAA;31/03/2015
OVO045375;1 B 3D HCB;28/02/2013
OVO045376;1 B 3D HD;31/03/2015
OVO045377;1 B 3D HDA;31/03/2015
OVO045378;1 B 3D HDB;31/03/2015
OVO045379;1 B 3D HDC;31/03/2015
OVO045380;1 B 3D HDD;28/02/2013
OVO045381;1 B 3D HDE;31/03/2015
OVO045382;1 B 3D HE;31/03/2015
OVO045383;1 B 3D HEA;31/03/2015
OVO045384;1 B 3D HEB;31/01/2012
OVO045385;1 B 3D HEC;31/03/2015
OVO045386;1 B 3D HED;31/03/2015
OVO045387;1 B 3D HEE;28/02/2013
OVO045388;1 B 3D HEF;31/03/2015
OVO045389;1 B 3D HF;31/03/2015
OVO045390;1 B 3D JA;31/03/2015
OVO045391;1 B 3D JB;31/03/2015
OVO045392;1 B 3D JC;31/03/2015
OVO045393;1 B 3D JD;31/03/2015
OVO045394;1 B 3D JDA;28/02/2014
OVO045395;1 B 3D JDB;28/02/2014
OVO045396;1 B 3D JE;31/03/2015
OVO045397;1 B 3D JF;31/03/2015
OVO045398;1 B 3D JFA;30/04/2014
OVO045399;1 B 3D JFB;28/02/2014
OVO045400;1 B 3D JG;31/03/2015
OVO045401;1 B 3D KA;28/02/2013
OVO045402;1 B 3D KB;31/03/2015
OVO045403;1 B 3D KBA;31/03/2015
OVO045404;1 B 3D KBB;31/03/2015
OVO045405;1 B 3D KBC;31/03/2015
OVO045406;1 B 3D KBCA;31/03/2015
OVO045407;1 B 3D KC;28/02/2013
OVO045408;1 B 3D KD;28/02/2013
OVO045409;1 B 3D KE;31/03/2015
OVO045410;1 B 3D KEA;31/03/2015
OVO045411;1 B 3D KEB;31/03/2015
OVO045412;1 B 3D KEC;28/02/2013
OVO045413;1 B 3D KED;31/03/2015
OVO045414;1 B 3D KEE;31/03/2015
OVO045415;1 B 3D KEF;31/03/2015
OVO045416;1 B 3D KF;31/03/2015
OVO045417;1 B 3D KFA;31/03/2015
OVO045418;1 B 3D KFB;31/03/2015
OVO045419;1 B 3D KFC;31/03/2015
OVO045420;1 B 3D LA;31/03/2015
OVO045421;1 B 3D LB;31/03/2015
OVO045422;1 B 3D LC;31/03/2015
OVO045423;1 B 3D LCA;31/03/2015
OVO045424;1 B 3D LCB;31/03/2015
OVO045425;1 B 3D LCC;31/03/2015
OVO045426;1 B 3D LD;31/03/2015
OVO045427;1 B 3D LE;31/03/2015
OVO045428;1 B 3D LEA;31/03/2015
OVO045429;1 B 3D LEB;31/03/2015
OVO045430;1 B 3D LEC;31/03/2015
OVO045431;1 B 3D LED;31/03/2015
OVO045432;1 B 3D LEE;31/03/2015
OVO045433;1 B 3D LF;31/03/2015
OVO045434;1 B 3D LFA;31/03/2015
OVO045435;1 B 3D LFB;31/03/2015
OVO045351;1 B 3D M;31/03/2015
OVO001971;1 B 3D N;31/03/2015
OVO045436;1 B 3D NA;31/03/2015
OVO045437;1 B 3D NB;31/03/2015
OVO045438;1 B 3D NBA;31/03/2015
OVO045439;1 B 3D NBB;31/03/2015
OVO045440;1 B 3D NBC;31/03/2015
OVO045441;1 B 3D NBD;31/03/2015
OVO045442;1 B 3D NBE;31/03/2015
OVO045443;1 B 3D NC;31/03/2015
OVO001972;1 B 3D P;31/03/2015
OVO045444;1 B 3D PA;31/03/2015
OVO045445;1 B 3D PB;31/03/2015
OVO001970;1 B 3D Q;31/03/2015
OVO045446;1 B 3D QA;31/03/2015
OVO045447;1 B 3D QAA;31/03/2015
OVO045448;1 B 3D QAB;31/03/2015
OVO045449;1 B 3D QAC;31/03/2015
OVO045450;1 B 3D QB;31/03/2015
OVO045451;1 B 3D QBA;31/03/2015
OVO045452;1 B 3D QBB;31/03/2015
OVO045453;1 B 3D QBC;31/03/2015
OVO045454;1 B 3D QBCA;31/03/2015
OVO045455;1 B 3D QBCB;31/03/2015
OVO045456;1 B 3D QBCC;31/03/2015
OVO045457;1 B 3D QBCD;31/03/2015
OVO045458;1 B 3D QBCE;31/03/2015
OVO045459;1 B 3D QBCF;31/03/2015
OVO045460;1 B 3D QC;31/12/2014
OVO045461;1 B 3D QD;31/12/2014
OVO045462;1 B 3D QDA;31/12/2014
OVO045463;1 B 3D QDB;31/12/2014
OVO045464;1 B 3D QDC;31/12/2014
OVO045465;1 B 3D QDD;31/12/2014
OVO045466;1 B 3D QDE;31/12/2014
OVO045467;1 B 3D QDF;31/12/2014
OVO045468;1 B 3D QE;31/12/2014
OVO045469;1 B 3D QF;31/12/2014
OVO045470;1 B 3D QG;31/12/2014
OVO045471;1 B 3D QGA;31/12/2014
OVO045472;1 B 3D QGB;31/12/2014
OVO045473;1 B 3D QGC;31/12/2014
OVO045474;1 B 3D QGD;31/12/2014
OVO045475;1 B 3D QGE;31/12/2014
OVO001974;1 B 3D R;31/03/2015
OVO045476;1 B 3D RA;31/03/2015
OVO045477;1 B 3D RB;31/03/2015
OVO045478;1 B 3D RBA;31/03/2015
OVO045479;1 B 3D RBB;31/03/2015
OVO045480;1 B 3D RBC;31/03/2015
OVO045481;1 B 3D RBD;31/03/2015
OVO045482;1 B 3D RBE;31/03/2015
OVO045483;1 B 3D RBF;31/03/2015
OVO045484;1 B 3D RC;31/03/2015
OVO045485;1 B 3D RD;31/03/2015
OVO045486;1 B 3D RE;31/03/2015
OVO045487;1 B 3D REA;31/03/2015
OVO045488;1 B 3D REB;31/03/2015
OVO045489;1 B 3D REC;31/03/2015
OVO045490;1 B 3D RED;31/03/2015
OVO045491;1 B 3D REE;31/03/2015
OVO001975;1 B 3D S;31/03/2015
OVO045492;1 B 3D SA;31/03/2015
OVO045493;1 B 3D SB;31/03/2015
OVO045494;1 B 3D SC;31/03/2015
OVO045495;1 B 3D SD;31/03/2015
OVO001968;1 B 3D T;31/03/2015
OVO045496;1 B 3D TA;31/03/2015
OVO045497;1 B 3D TB;31/03/2015
OVO045498;1 B 3D TC;31/03/2015
OVO045499;1 B 3D TD;31/03/2015
OVO001976;1 B 3D U;31/03/2015
OVO045500;1 B 3D UA;31/03/2015
OVO001969;1 B 3D V;31/03/2015
OVO045509;1 B 3D VA;31/03/2015
OVO045510;1 B 3D VB;31/03/2015
OVO045511;1 B 3D VC;31/03/2015
OVO045512;1 B 3D VD;31/03/2015
OVO045513;1 B 3D VE;31/03/2015
OVO045514;1 B 3D VF;31/03/2015
OVO001973;1 B 3D W;31/03/2015
OVO045515;1 B 3D WA;31/03/2015
